run_id,plan_type,config_id,seed,variant,pairing_key,source_materialization_id,source_materialization,source_validation_report,destination_directory,duration_seconds,density,workload,ga_parameter_scaling_mode,status,output_path,baseline_run_id,baseline_summary,baseline_metrics_key
G02B-CFG-N-I-104729-LOCAL_ONLY,scientific,CFG-N-I,104729,LOCAL_ONLY,CFG-N-I|104729,MAT-CFG-N-I-104729,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-I/104729,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-I/104729/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-N-I/104729/LOCAL_ONLY,300,nominal,WL-I,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-N-I/104729/LOCAL_ONLY,N-I-01,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-N-I/N-I-01-104729.json,CFG-N-I|104729
G02B-CFG-N-I-104729-NO_MOBILITY_PENALTY,scientific,CFG-N-I,104729,NO_MOBILITY_PENALTY,CFG-N-I|104729,MAT-CFG-N-I-104729,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-I/104729,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-I/104729/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-N-I/104729/NO_MOBILITY_PENALTY,300,nominal,WL-I,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-N-I/104729/NO_MOBILITY_PENALTY,N-I-01,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-N-I/N-I-01-104729.json,CFG-N-I|104729
G02B-CFG-N-I-104729-COLD_START_NO_REUSE,scientific,CFG-N-I,104729,COLD_START_NO_REUSE,CFG-N-I|104729,MAT-CFG-N-I-104729,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-I/104729,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-I/104729/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-N-I/104729/COLD_START_NO_REUSE,300,nominal,WL-I,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-N-I/104729/COLD_START_NO_REUSE,N-I-01,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-N-I/N-I-01-104729.json,CFG-N-I|104729
G02B-CFG-N-I-130363-LOCAL_ONLY,scientific,CFG-N-I,130363,LOCAL_ONLY,CFG-N-I|130363,MAT-CFG-N-I-130363,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-I/130363,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-I/130363/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-N-I/130363/LOCAL_ONLY,300,nominal,WL-I,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-N-I/130363/LOCAL_ONLY,N-I-02,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-N-I/N-I-02-130363.json,CFG-N-I|130363
G02B-CFG-N-I-130363-NO_MOBILITY_PENALTY,scientific,CFG-N-I,130363,NO_MOBILITY_PENALTY,CFG-N-I|130363,MAT-CFG-N-I-130363,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-I/130363,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-I/130363/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-N-I/130363/NO_MOBILITY_PENALTY,300,nominal,WL-I,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-N-I/130363/NO_MOBILITY_PENALTY,N-I-02,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-N-I/N-I-02-130363.json,CFG-N-I|130363
G02B-CFG-N-I-130363-COLD_START_NO_REUSE,scientific,CFG-N-I,130363,COLD_START_NO_REUSE,CFG-N-I|130363,MAT-CFG-N-I-130363,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-I/130363,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-I/130363/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-N-I/130363/COLD_START_NO_REUSE,300,nominal,WL-I,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-N-I/130363/COLD_START_NO_REUSE,N-I-02,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-N-I/N-I-02-130363.json,CFG-N-I|130363
G02B-CFG-N-I-155921-LOCAL_ONLY,scientific,CFG-N-I,155921,LOCAL_ONLY,CFG-N-I|155921,MAT-CFG-N-I-155921,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-I/155921,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-I/155921/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-N-I/155921/LOCAL_ONLY,300,nominal,WL-I,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-N-I/155921/LOCAL_ONLY,N-I-03,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-N-I/N-I-03-155921.json,CFG-N-I|155921
G02B-CFG-N-I-155921-NO_MOBILITY_PENALTY,scientific,CFG-N-I,155921,NO_MOBILITY_PENALTY,CFG-N-I|155921,MAT-CFG-N-I-155921,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-I/155921,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-I/155921/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-N-I/155921/NO_MOBILITY_PENALTY,300,nominal,WL-I,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-N-I/155921/NO_MOBILITY_PENALTY,N-I-03,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-N-I/N-I-03-155921.json,CFG-N-I|155921
G02B-CFG-N-I-155921-COLD_START_NO_REUSE,scientific,CFG-N-I,155921,COLD_START_NO_REUSE,CFG-N-I|155921,MAT-CFG-N-I-155921,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-I/155921,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-I/155921/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-N-I/155921/COLD_START_NO_REUSE,300,nominal,WL-I,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-N-I/155921/COLD_START_NO_REUSE,N-I-03,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-N-I/N-I-03-155921.json,CFG-N-I|155921
G02B-CFG-N-I-181081-LOCAL_ONLY,scientific,CFG-N-I,181081,LOCAL_ONLY,CFG-N-I|181081,MAT-CFG-N-I-181081,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-I/181081,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-I/181081/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-N-I/181081/LOCAL_ONLY,300,nominal,WL-I,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-N-I/181081/LOCAL_ONLY,N-I-04,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-N-I/N-I-04-181081.json,CFG-N-I|181081
G02B-CFG-N-I-181081-NO_MOBILITY_PENALTY,scientific,CFG-N-I,181081,NO_MOBILITY_PENALTY,CFG-N-I|181081,MAT-CFG-N-I-181081,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-I/181081,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-I/181081/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-N-I/181081/NO_MOBILITY_PENALTY,300,nominal,WL-I,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-N-I/181081/NO_MOBILITY_PENALTY,N-I-04,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-N-I/N-I-04-181081.json,CFG-N-I|181081
G02B-CFG-N-I-181081-COLD_START_NO_REUSE,scientific,CFG-N-I,181081,COLD_START_NO_REUSE,CFG-N-I|181081,MAT-CFG-N-I-181081,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-I/181081,tmp/materialized-literature-scenarios/final-test-campaign/G02_main_factorial_experiments/CFG-N-I/181081/reports/final_campaign_validation_report.json,tmp/materialized-literature-scenarios/g02b-ablation/scientific/CFG-N-I/181081/COLD_START_NO_REUSE,300,nominal,WL-I,STATIC,PLANNED,tmp/g02b-ablation/results/scientific/CFG-N-I/181081/COLD_START_NO_REUSE,N-I-04,test-results/final-campaign/G02_main_factorial_experiments/run-summaries/CFG-N-I/N-I-04-181081.json,CFG-N-I|181081
